,0
0,11
1,1
2,8
3,4
4,1
5,10
6,0
7,12
8,10
9,10
10,12
11,0
12,0
13,6
14,11
15,13
16,13
17,1
18,12
19,8
20,8
21,13
22,0
23,0
24,0
25,14
26,14
27,4
28,10
29,10
30,10
31,5
32,10
33,1
34,1
35,1
36,1
37,3
38,7
39,1
40,1
41,5
42,10
43,14
44,6
45,10
46,0
47,11
48,0
49,5
50,3
51,1
52,10
53,0
54,14
55,10
56,3
57,8
58,0
59,14
60,6
61,3
62,1
63,7
64,4
65,7
66,1
67,5
68,13
69,3
70,5
71,12
72,1
73,12
74,3
75,0
76,12
77,13
78,10
79,3
80,5
81,6
82,13
83,7
84,6
85,3
86,0
87,10
88,13
89,3
90,3
91,13
92,0
93,0
94,10
95,10
96,13
97,13
98,1
99,3
100,8
101,0
102,12
103,12
104,3
105,2
106,7
107,8
108,1
109,1
110,12
111,10
112,12
113,4
114,6
115,1
116,7
117,10
118,5
119,0
120,2
121,13
122,0
123,6
124,0
125,1
126,1
127,3
128,1
129,11
130,0
131,1
132,0
133,0
134,11
135,9
136,1
137,3
138,10
139,4
140,0
141,7
142,0
143,14
144,3
145,14
146,0
147,0
148,6
149,0
150,8
151,2
152,1
153,0
154,10
155,8
156,14
157,1
158,1
159,1
160,3
161,14
162,13
163,14
164,1
165,13
166,0
167,0
168,13
169,0
170,0
171,9
172,13
173,7
174,12
175,12
176,13
177,11
178,0
179,13
180,12
181,10
182,3
183,3
184,3
185,7
186,10
187,13
188,0
189,12
190,0
191,9
192,0
193,3
194,14
195,14
196,5
197,6
198,0
199,12
200,11
201,10
202,14
203,3
204,6
205,13
206,12
207,14
208,0
209,14
210,1
211,6
212,13
213,8
214,1
215,10
216,14
217,14
218,13
219,1
220,7
221,2
222,13
223,7
224,4
225,7
226,7
227,12
228,13
229,1
230,1
231,9
232,7
233,10
234,10
235,6
236,0
237,5
238,6
239,3
240,3
241,13
242,11
243,0
244,0
245,0
246,10
247,7
248,13
249,0
250,8
251,0
252,7
253,0
254,0
255,0
256,13
257,10
258,12
259,0
260,7
261,0
262,12
263,8
264,6
265,14
266,13
267,14
268,7
269,7
270,9
271,13
272,0
273,13
274,11
275,11
276,9
277,14
278,1
279,8
280,11
281,7
282,4
283,8
284,7
285,0
286,7
287,11
288,10
289,0
290,13
291,10
292,0
293,0
294,13
295,10
296,6
297,0
298,4
299,12
300,4
301,13
302,0
303,8
304,13
305,14
306,12
307,12
308,5
309,0
310,3
311,10
312,0
313,1
314,13
315,13
316,0
317,10
318,10
319,0
320,10
321,10
322,10
323,3
324,8
325,0
326,13
327,14
328,10
329,4
330,14
331,12
332,3
333,13
334,0
335,14
336,1
337,7
338,0
339,5
340,7
341,8
342,3
343,6
344,13
345,12
346,3
347,12
348,10
349,13
350,7
351,3
352,11
353,4
354,13
355,6
356,7
357,3
358,12
359,12
360,12
361,13
362,10
363,12
364,8
365,8
366,5
367,10
368,13
369,7
370,0
371,5
372,13
373,3
374,11
375,10
376,12
377,6
378,11
379,1
380,11
381,13
382,7
383,14
384,6
385,7
386,7
387,12
388,8
389,0
390,7
391,7
392,13
393,13
394,6
395,0
396,13
397,8
398,13
399,11
400,12
401,0
402,7
403,3
404,0
405,8
406,11
407,7
408,0
409,8
410,3
411,12
412,4
413,0
414,10
415,5
416,10
417,10
418,3
419,10
420,14
421,0
422,3
423,14
424,3
425,8
426,4
427,12
428,1
429,2
430,0
431,5
432,14
433,4
434,10
435,14
436,7
437,1
438,4
439,2
440,1
441,3
442,1
443,13
444,0
445,7
446,3
447,11
448,9
449,0
450,7
451,13
452,10
453,1
454,7
455,0
456,1
457,6
458,3
459,10
460,6
461,11
462,7
463,8
464,0
465,5
466,10
467,1
468,1
469,7
470,11
471,11
472,12
473,12
474,6
475,0
476,5
477,1
478,10
479,5
480,2
481,7
482,4
483,10
484,6
485,10
486,0
487,3
488,1
489,7
490,0
491,11
492,3
493,1
494,12
495,7
496,1
497,1
498,14
499,3
500,7
501,7
502,2
503,1
504,12
505,14
506,13
507,0
508,8
509,8
510,0
511,4
512,1
513,4
514,1
515,10
516,14
517,12
518,7
519,4
520,0
521,14
522,12
523,3
524,6
525,1
526,2
527,13
528,1
529,6
530,13
531,0
532,1
533,10
534,12
535,0
536,14
537,8
538,1
539,14
540,1
541,4
542,6
543,12
544,0
545,10
546,14
547,1
548,1
549,3
550,0
551,1
552,1
553,14
554,3
555,13
556,0
557,0
558,0
559,1
560,4
561,4
562,0
563,8
564,7
565,10
566,1
567,14
568,1
569,3
570,2
571,6
572,2
573,7
574,9
575,7
576,11
577,3
578,14
579,13
580,12
581,5
582,5
583,12
584,0
585,1
586,0
587,1
588,5
589,13
590,5
591,14
592,1
593,11
594,8
595,1
596,10
597,1
598,6
599,4
600,5
601,11
602,2
603,0
604,10
605,1
606,8
607,7
608,13
609,10
610,8
611,3
612,7
613,13
614,7
615,8
616,13
617,3
618,0
619,10
620,7
621,8
622,7
623,13
624,1
625,11
626,1
627,13
628,11
629,2
630,0
631,6
632,3
633,0
634,1
635,4
636,3
637,12
638,7
639,13
640,1
641,11
642,8
643,0
644,14
645,7
646,10
647,13
648,1
649,1
650,7
651,1
652,13
653,2
654,5
655,7
656,11
657,0
658,5
659,7
660,7
661,1
